Predictable sentences,prob_x,Unpredictable sentences,prob_y,target,diff of prob
Le magicien fit tomber le rideau et la femme avait,0.605263158,Les visiteurs attendaient le maire et pensaient qu'il avait,0.064516129,disparu,0.540747029
Hugo vivait dans une cabane qu'il avait lui-même,0.605263158,Albert a oublié la radio que sa mère avait,0,construite,0.605263158
Les hommes ont failli tomber dans le trou qu'ils avaient,0.709677419,Les soldats passent toujours par le chemin qu'ils ont,0.090909091,creuse,0.618768328
Émilie l’avait détestée dès le moment où elles s'étaient,0.631578947,Les policiers n'avaient pas du tout compris qu'elles s'étaient,0,rencontrees,0.631578947
Il apprécie la richesse car il a grandi dans la,0.636363636,Mon professeur m'a dit qu'il avait toujours eu peur de la,0,pauvrete,0.636363636
"Au concert de rock, la musique était trop",0.677419355,"Avec le poisson, la sauce n'était pas très",0.03030303,forte,0.647116325
"Pour fêter son départ, ses amis lui ont organisé une",0.741935484,"De leur chambre, les enfants entendaient bien les bruits de la",0.060606061,fete,0.681329423
Chris dit que son chien avait toujours été son meilleur,0.806451613,Julia était de nouveau partie en vacances avec son,0.121212121,ami,0.685239492
"Pour entrer dans la maison, l'inspecteur a dû montrer son",0.696969697,"Pour avoir participé à la course, l'enfant a reçu un",0,badge,0.696969697
Gaspard était perdu et ne savait pas quoi,0.709677419,Léo était choqué devant cette chose étrange à,0,faire,0.709677419
La mère inquiète avait plusieurs bouches à,0.741935484,Mon frère possédait des animaux difficiles à,0.03030303,nourrir,0.711632454
Bernard l’avait accueilli avec un thé à la,0.736842105,Isabelle était sortie cueillir un bouquet de,0,menthe,0.736842105
La couleur la plus associée à la colère est le,0.806451613,Sa nouvelle chambre a un mur entièrement peint en,0.03030303,rouge,0.776148583
La petite fille était contente de perdre sa première,0.838709677,Le pauvre homme s'inquiétait toujours de perdre une nouvelle,0.060606061,dent,0.778103617
"Dès sa majorité, il s’était engagé dans l'",0.838709677,"Depuis trois ans, elle travaillait dans l'",0.052631579,armee,0.786078098
Le jus de citron est très,0.787878788,Ce plat est beaucoup trop,0,acide,0.787878788
Elle a suggéré à son petit ami barbu de se,0.818181818,Il a dit à son frère qu'il devait vraiment se,0,raser,0.818181818
En s'approchant d'une ruche elle a été piquée par une,0.818181818,En regardant son livre il a deviné l'espèce de,0,abeille,0.818181818
"Après une ballade dans les champs, mes bottes étaient couvertes de",0.818181818,"Après avoir été lavé, le col n'était plus taché de",0,boue,0.818181818
L'annonce de soldes très importantes a attiré une immense,0.818181818,La boutique d'accessoires était dans un quartier éloigné de la,0,foule,0.818181818
La fillette a reçu ce cadeau pour son,0.947368421,Elle a acheté un pot de fleurs pour son,0.129032258,anniversaire,0.818336163
On fait le cidre avec le jus des,0.935483871,Son ami a toujours adoré manger des,0.105263158,pommes,0.830220713
L'énorme valise semblait peser une,0.909090909,Cet espace peut en stocker une,0.064516129,tonne,0.84457478
Il lui a mis un couteau sous la,0.973684211,Elle a toujours eu mal à la,0.129032258,gorge,0.844651952
"Après sa panne, un passant l'a aidé à pousser sa",0.870967742,"Comme ses voisins, elle a elle-même repeint sa",0.026315789,voiture,0.844651952
Pour arriver à temps il aurait dû marcher plus,0.878787879,"Pour ne pas avoir faim, il aurait dû manger plus",0.032258065,vite,0.846529814
Kevin était deçu que son équipe de basket n'ait pas,0.848484848,Camille était très surprise que son mari n'ait pas,0,gagne,0.848484848
"Pour rendre son café moins amer, elle a mis un morceau de",1,"Pour améliorer cette recette, il faudrait ajouter un peu de",0.129032258,sucre,0.870967742
Après cette grosse bêtise il rougit de,0.870967742,"L'après-midi, il su pourquoi il avait",0,honte,0.870967742
Faites attention à ne pas toucher la poêle quand elle est,0.870967742,Attendons-nous à ce que cette maison ne soit pas vraiment,0,chaude,0.870967742
J'ai entendu miauler un,0.909090909,Je suis allé acheter un,0.032258065,chat,0.876832845
Le pêcheur aimait passer la journée en mer sur son,0.878787879,L'équipe s'est entrainée de très longues semaines sur son,0,bateau,0.878787879
"Pour ouvrir la porte, Thomas a tiré de toutes ses",0.878787879,"Pour réussir à l'examen, Emma ne manquait pas de",0,forces,0.878787879
"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque",0.903225806,"Pendant la réunion, les enfants de sa sœur ont décidé de faire un",0,pas,0.903225806
Dès la première goutte de pluie elle a ouvert son,0.903225806,Dès son arrivée dans le grand magasin elle s'est acheté un,0,parapluie,0.903225806
Les deux étudiants se sont rencontrés et sont rapidement tombés,0.935483871,Les deux voisins ont discuté et ont compris qu'ils étaient,0.03030303,amoureux,0.905180841
"Après deux semaines, il y avait plein de vêtements sales à",0.909090909,"Après quelques mois, ils ont engagé un homme pour tout",0,laver,0.909090909
Elle a emporté son nouvel appareil pour prendre de belles,0.921052632,Son père avait dans le temps une incroyable collection de,0,photos,0.921052632
Le petit garçon mange son steak avec un couteau et une,0.935483871,La vieille femme met dans son sac un petit briquet et une,0,fourchette,0.935483871
Sa vue a diminué et elle doit acheter une nouvelle paire de,0.935483871,Il aime le commerce et a décidé d'ouvrir un magasin de,0,lunettes,0.935483871
Il va acheter des actions cotées en,0.935483871,Elle n'est encore jamais passée devant la,0,bourse,0.935483871
"Après s'être lavé les mains, Nathan les a séchées avec une",0.935483871,"Dès leur retour à la maison, Valentin lui a donné une",0,serviette,0.935483871
Les tensions entre les pays pourraient aboutir à la,0.967741935,Les marchands de légumes n'ont pas l'habitude de faire la,0.03030303,guerre,0.937438905
Il avait peur des microbes et craignait de tomber,0.939393939,Il est entré dans cette chambre et est maintenant,0,malade,0.939393939
Un très jeune chien s'appelle un,0.939393939,Dans cette boite se cache un,0,chiot,0.939393939
Manon a été triste de découvrir que son poisson rouge était,0.939393939,Dina a été surprise d'apprendre que son meilleur ami était,0,mort,0.939393939
Les faux jumeaux étaient aussi différents que le jour et la,0.967741935,Elles aimaient beaucoup la liberté que leur offrait la,0,nuit,0.967741935
"En cuisinant, Luc s'est coupé le doigt avec un",0.967741935,"En rentrant, Léa trouva sur la table son vieux",0,couteau,0.967741935
"Pour honorer la mort de son collègue, Kim a assisté à son",0.96969697,"Pour aider la famille de sa femme, Diego a organisé tout",0,enterrement,0.96969697
"Au printemps dans le jardin, son père tondait la",1,"En été à la mer, les enfants jouaient sur la",0,pelouse,1
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,1,Elle a eu la bonne idée de le rappeler après avoir étudié son,0,contrat,1
