Word,phon,lemme,cgram,freqlemfilms2,freqfilms2,freqlivres,nbhomoph,islem,nblettres,nbsyll,cv-cv,cgramortho,pld20,Mlex puPhon,Mlex pld20,Mlex fb,Mlex ff,freq_comb,freq_comb_2,Word.1,nbphons,Pulexique,PUmMlex,maxPU,finalPU,FREQ,MISMATCH
appétit,apeti,appétit,NOM,20.98,20.68,23.78,2,1,7,3,V-CV-CV,NOM,1.85,5,1.85,23.77999988,20.68,1.647969457,4.363772789,appétit,5,5,5,5,TRUE,h,0
araignée,aRENe,araignée,NOM,18.2,12.21,12.36,2,1,8,3,V-CV-CV,NOM,1.8,5,1.95,12.36000006,12.21,1.390405158,3.32363166,araignée,5,5,5,5,TRUE,h,0
bâtiment,batim@,bâtiment,NOM,27.58,22.73,19.93,2,1,8,3,CV-CV-CV,NOM,1.75,6,1.9,19.93000008,22.73,1.630020852,4.28698883,bâtiment,6,6,6,6,TRUE,h,0
canapé,kanape,canapé,NOM,18.58,17.66,17.97,2,1,6,3,CV-CV-CV,NOM,1.95,6,1.95,17.96999996,17.66,1.551815822,3.959948167,canapé,6,6,6,6,TRUE,h,0
cinéma,sinema,cinéma,NOM,63.49,62.23,72.91,2,1,6,3,CV-CV-CV,NOM,2.7,6,2.8,72.90999961,62.23,2.130783913,6.671023999,cinéma,6,6,6,6,TRUE,h,0
compagnon,k§paN§,compagnon,NOM,22.2,8.4,34.26,2,1,9,3,CV-CV-CV,NOM,1.8,6,3.85,34.26000017,8.4,1.630020853,4.286988834,compagnon,6,6,6,6,TRUE,h,0
député,depyte,député,NOM,10.4,7.4,6.42,5,1,6,3,CV-CV-CV,NOM,1.75,6,1.8,6.42000008,7.4,1.140508046,2.441266648,député,6,6,6,6,TRUE,h,0
élément,elem@,élément,NOM,24.03,10.2,16.15,2,1,7,3,V-CV-CV,NOM,1.8,5,1.8,16.14999983,10.2,1.420780617,3.439398178,élément,5,5,5,5,TRUE,h,0
éléphant,elef@,éléphant,NOM,15.36,10.17,8.92,2,1,8,3,V-CV-CV,NOM,1.85,5,2.1,8.91999995,10.17,1.280805927,2.921269751,éléphant,5,5,5,5,TRUE,h,0
guérison,geRiz§,guérison,NOM,5.84,5.43,4.93,2,1,8,3,CV-CV-CV,NOM,1.8,5,2.75,4.92999995,5.43,1.015359753,2.046315182,guérison,6,5,5,5,FALSE,h,0
ironie,iRoni,ironie,NOM,6.05,6,23.78,2,1,6,3,V-CV-CV,NOM,1.9,5,1.95,23.77999988,6,1.473924692,3.646378688,ironie,5,5,5,5,TRUE,h,0
jalousie,Zaluzi,jalousie,NOM,13.67,13.2,22.09,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.75,22.08999984,13.2,1.547651656,3.942877306,jalousie,6,6,6,6,TRUE,h,0
magasin,magaz5,magasin,NOM,60.62,51.97,45.61,2,1,7,3,CV-CV-CV,NOM,2.85,6,2.85,45.60999969,51.97,1.989360812,5.946917254,magasin,6,6,6,6,TRUE,h,0
maladie,maladi,maladie,NOM,66.04,52.18,49.59,2,1,7,3,CV-CV-CV,NOM,1.85,6,1.9,49.59000007,52.18,2.007619775,6.038156935,maladie,6,6,6,6,TRUE,h,0
monument,monym@,monument,NOM,6.68,5.07,10.54,2,1,8,3,CV-CV-CV,NOM,2.45,6,2.75,10.54000003,5.07,1.193402904,2.617613395,monument,6,6,6,6,TRUE,h,0
nudité,nydite,nudité,NOM,2.11,2.1,12.57,2,1,6,3,CV-CV-CV,NOM,2.05,5,2.05,12.57000007,2.1,1.166430116,2.526989331,nudité,6,5,5,5,FALSE,h,0
numéro,nymeRo,numéro,NOM,173.48,162.08,60,2,1,6,3,CV-CV-CV,NOM,2.25,6,2.7,60.0000007,162.08,2.34650945,7.85261605,numéro,6,6,6,6,TRUE,h,0
océan,ose@,océan,NOM,24.89,22.86,24.93,2,1,5,3,V-CV-V,NOM,1.8,4,1.9,24.93000019,22.86,1.679337032,4.4995099,océan,4,4,4,4,TRUE,h,0
papillon,papij§,papillon,NOM,12.28,8.12,10.68,2,1,8,3,CV-CV-YV,NOM,1.9,6,2.75,10.67999993,8.12,1.274157848,2.897636068,papillon,6,6,6,6,TRUE,h,0
paradis,paRadi,paradis,NOM,33.23,33.23,28.04,1,1,7,3,CV-CV-CV,NOM,1.55,6,1.75,28.03999986,33.23,1.787247879,4.981502862,paradis,6,6,6,6,TRUE,h,0
perroquet,pERokE,perroquet,NOM,5.55,4.39,7.36,2,1,9,3,CV-CV-CV,NOM,2,2,2.55,7.36000005,4.39,1.070037868,2.215018908,perroquet,6,4,2,4,FALSE,h,0
pyjama,piZama,pyjama,NOM,8.11,7.1,15.07,2,1,6,3,CV-CV-CV,NOM,2.75,4,2.85,15.07000012,7.1,1.345765695,3.156851003,pyjama,6,4,4,4,FALSE,h,0
qualité,kalite,qualité,NOM,29.13,20.84,42.7,2,1,7,3,CV-CV-CV,NOM,1.7,6,1.75,42.7000003,20.84,1.803047213,5.054026463,qualité,6,6,6,6,TRUE,h,0
robinet,RobinE,robinet,NOM,5.89,5.12,13.65,2,1,7,3,CV-CV-CV,NOM,1.9,6,2.65,13.64999984,5.12,1.273464269,2.895175513,robinet,6,6,6,6,TRUE,h,0
sympathie,s5pati,sympathie,NOM,7.68,6.87,24.05,2,1,9,3,CV-CV-CV,NOM,2.1,6,2.4,24.04999999,6.87,1.490239485,3.711053208,sympathie,6,6,6,6,TRUE,h,0
syndicat,s5dika,syndicat,NOM,14.25,9.93,5.2,2,1,8,3,CV-CV-CV,NOM,1.85,6,2.4,5.20000001,9.93,1.179838928,2.571858825,syndicat,6,6,6,6,TRUE,h,0
thérapie,teRapi,thérapie,NOM,13.63,12.98,0.07,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.55,0.07000001,12.98,1.115610512,2.360197327,thérapie,6,6,6,6,TRUE,h,0
unité,ynite,unité,NOM,43.46,29.29,25.07,2,1,5,3,V-CV-CV,NOM,1.85,5,1.95,25.06999993,29.29,1.735279448,4.746474208,unité,5,5,5,5,TRUE,h,0
véranda,veR@da,véranda,NOM,1.9,1.86,9.12,2,1,7,3,CV-CV-CV,NOM,2.75,2,3,9.11999994,1.86,1.040602338,2.123455563,véranda,6,4,2,4,FALSE,h,0
vérité,veRite,vérité,NOM,193.24,190.21,133.38,2,1,6,3,CV-CV-CV,NOM,1.9,6,1.9,133.380001,190.21,2.509995093,8.810070462,vérité,6,6,6,6,TRUE,h,0
sentiment,s@tim@,sentiment,NOM,75.72,36.87,106.42,2,1,9,3,CV-CV-CV,NOM,1.85,6,1.85,106.4200005,36.87,2.156215884,6.805482823,sentiment,6,6,6,6,TRUE,h,0
pantalon,p@tal§,pantalon,NOM,37.55,31.49,57.91,2,1,8,3,CV-CV-CV,NOM,2,6,2.9,57.90999963,31.49,1.951337517,5.759055622,pantalon,6,6,6,6,TRUE,h,0
comédie,komedi,comédie,NOM,22.11,20.87,25.68,2,1,7,3,CV-CV-CV,NOM,1.95,6,2.45,25.68000029,20.87,1.667919688,4.449875774,comédie,6,6,6,6,TRUE,h,0
caméra,kameRa,caméra,NOM,56.18,41.64,4.39,2,1,6,3,CV-CV-CV,NOM,1.9,6,2.15,4.39000006,41.64,1.663040975,4.428746262,caméra,6,6,6,6,TRUE,h,0
quantité,k@tite,quantité,NOM,10.3,8.67,15.27,2,1,8,3,CV-CV-CV,NOM,1.85,6,1.85,15.26999989,8.67,1.379124144,3.281107549,quantité,6,6,6,6,TRUE,h,0
casino,kazino,casino,NOM,12.75,10.89,9.8,2,1,6,3,CV-CV-CV,NOM,2,6,2.15,9.80000011,10.89,1.315760493,3.046986168,casino,6,6,6,6,TRUE,h,0
lavabo,lavabo,lavabo,NOM,3.38,2.56,13.85,2,1,6,3,CV-CV-CV,NOM,2.45,6,2.5,13.84999988,2.56,1.215108578,2.691597434,lavabo,6,6,6,6,TRUE,h,0
document,dokym@,document,NOM,24.86,9.34,6.69,2,1,8,3,CV-CV-CV,NOM,2.35,6,2.65,6.69,9.34,1.204933522,2.656798316,document,6,6,6,6,TRUE,h,0
messager,mesaZe,messager,NOM,10.87,9.6,3.38,2,1,8,3,CV-CV-CV,NOM,1.9,6,2.15,3.37999999,9.6,1.113274692,2.352655232,messager,6,6,6,6,TRUE,h,0
candidat,k@dida,candidat,NOM,17.7,9.63,2.84,3,1,8,3,CV-CV-CV,NOM,2.4,6,2.75,2.83999996,9.63,1.095866452,2.296789733,candidat,6,6,6,6,TRUE,h,0
prison,pRiz§,prison,NOM,147.49,142.97,64.66,3,1,6,2,CCV-CV,NOM,1.3,5,2.5,64.66000024,142.97,2.317290104,7.687123533,prison,5,5,5,5,TRUE,h,1
jardin,ZaRd5,jardin,NOM,60.21,54.01,148.72,2,1,6,2,CVC-CV,NOM,1.95,5,1.95,148.7200005,54.01,2.306918022,7.62878878,jardin,5,5,5,5,TRUE,h,1
médecin,mEds5,médecin,NOM,140.19,112.35,60.68,2,1,7,2,CVC-CV,NOM,2.3,5,2.4,60.6800007,112.35,2.23812141,7.247308853,médecin,5,5,5,5,TRUE,h,1
erreur,ER9R,erreur,NOM,124.15,101.33,37.84,2,1,6,2,V-CVC,NOM,1.8,3,1.8,37.83999989,101.33,2.143545627,6.738333481,erreur,4,3,3,3,FALSE,h,1
tableau,tablo,tableau,NOM,50.11,37.8,57.84,2,1,7,2,CV-CCV,NOM,1.7,5,1.85,57.83999945,37.8,1.980639565,5.903572651,tableau,5,5,5,5,TRUE,h,1
printemps,pR5t@,printemps,NOM,27.85,27.85,60.88,1,1,9,2,CCV-CV,NOM,1.75,5,1.9,60.88000071,27.85,1.948070485,5.743049099,printemps,5,5,5,5,TRUE,h,1
montagne,m§taN,montagne,NOM,62.01,36.76,49.8,2,1,8,2,CV-CVC,NOM,1.8,5,2.8,49.79999973,36.76,1.937317246,5.69051536,montagne,5,5,5,5,TRUE,h,1
poisson,pwas§,poisson,NOM,81.51,53.61,30.14,3,1,7,2,CYV-CV,NOM,1.4,5,2.35,30.14000013,53.61,1.922984816,5.62085542,poisson,5,5,5,5,TRUE,h,1
essence,es@s,essence,NOM,33.24,32.91,27.77,2,1,7,2,V-CVC,NOM,1.8,2,1.9,27.76999987,32.91,1.783045571,4.96229708,essence,4,4,2,4,TRUE,h,1
plafond,plaf§,plafond,NOM,10.34,9.44,46.35,2,1,7,2,CCV-CV,NOM,1.95,5,2.9,46.34999964,9.44,1.746556359,4.797015472,plafond,5,5,5,5,TRUE,h,1
usage,yzaZ,usage,NOM,14.45,13.26,42.3,2,1,5,2,V-CVC,NOM,1.9,4,1.95,42.30000036,13.26,1.74476224,4.788957514,usage,4,4,4,4,TRUE,h,1
langage,l@gaZ,langage,NOM,16.68,16.56,36.01,2,1,7,2,CV-CVC,NOM,1.9,5,1.95,36.01000042,16.56,1.72073798,4.681677178,langage,5,4,5,5,TRUE,h,1
orage,oRaZ,orage,NOM,17.14,14.5,30.61,2,1,5,2,V-CVC,NOM,1.4,4,1.45,30.6100003,14.5,1.65427283,4.390891426,orage,4,4,4,4,TRUE,h,1
crédit,kRedi,crédit,NOM,28.21,25.82,17.57,2,1,6,2,CCV-CV,NOM,1.75,5,1.8,17.56999984,25.82,1.637389649,4.31843451,crédit,5,5,5,5,TRUE,h,1
balcon,balk§,balcon,NOM,10.53,9.9,32.97,2,1,6,2,CVC-CV,NOM,1.9,5,2.75,32.97000024,9.9,1.632153486,4.296078488,balcon,5,5,5,5,TRUE,h,1
piscine,pisin,piscine,NOM,23.62,22.19,15.74,2,1,7,2,CV-CVC,NOM,1.95,5,1.95,15.73999986,22.19,1.578982841,4.072169654,piscine,5,5,5,5,TRUE,h,1
légende,leZ@d,légende,NOM,20.41,16.07,21.49,2,1,7,2,CV-CVC,NOM,1.95,5,2.4,21.49000024,16.07,1.574725586,4.054486259,légende,5,5,5,5,TRUE,h,1
humour,ymuR,humour,NOM,17.22,17.22,16.76,1,1,6,2,V-CVC,NOM,1.8,3,1.85,16.75999994,17.22,1.531223374,3.875868394,humour,4,3,3,3,FALSE,h,1
virus,viRys,virus,NOM,23.98,23.98,6.42,1,1,5,2,CV-CVC,NOM,1.85,5,1.85,6.42000008,23.98,1.482873585,3.681787653,virus,5,5,5,5,TRUE,h,1
accueil,ak9j,accueil,NOM,13.83,13.83,16.22,5,1,7,2,V-CVY,NOM,1.6,4,1.85,16.22000011,13.83,1.477844478,3.661868779,accueil,4,4,4,4,TRUE,h,1
tonnerre,tonER,tonnerre,NOM,11.4,10.9,18.65,3,1,8,2,CV-CVC,NOM,1.6,5,1.9,18.64999979,10.9,1.470557482,3.63309679,tonnerre,5,5,5,5,TRUE,h,1
poison,pwaz§,poison,NOM,19.76,18.59,9.86,2,1,6,2,CYV-CV,NOM,1.7,4,2.6,9.86000012,18.59,1.454082273,3.568437528,poison,5,4,4,4,FALSE,h,1
banquette,b@kEt,banquette,NOM,3.02,2.66,24.26,2,1,9,2,CV-CVC,NOM,1.7,5,1.75,24.26000022,2.66,1.430075059,3.475189734,banquette,5,5,5,5,TRUE,h,1
serrure,seRyR,serrure,NOM,10.07,7.4,16.08,2,1,7,2,CV-CVC,NOM,1.9,5,1.9,16.08000014,7.4,1.370698095,3.249511363,serrure,5,5,5,5,TRUE,h,1
diamant,djam@,diamant,NOM,20.56,7.97,14.12,2,1,7,2,CYV-CV,NOM,1.85,5,1.9,14.11999996,7.97,1.344195715,3.151057836,diamant,5,5,5,5,TRUE,h,1
chaussure,SosyR,chaussure,NOM,73.58,12.49,8.78,3,1,9,2,CV-CVC,NOM,1.9,4,1.95,8.77999989,12.49,1.327767488,3.090733989,chaussure,5,4,4,4,FALSE,h,1
routine,Rutin,routine,NOM,12.14,11.67,9.53,2,1,7,2,CV-CVC,NOM,1.8,5,1.85,9.52999997,11.67,1.32633586,3.085502675,routine,5,5,5,5,TRUE,h,1
falaise,falEz,falaise,NOM,5.85,4.45,15.47,2,1,7,2,CV-CVC,NOM,1.65,5,1.7,15.47000003,4.45,1.299289335,2.98744211,falaise,5,5,5,5,TRUE,h,1
tambour,t@buR,tambour,NOM,10.2,7.8,10.54,2,1,7,2,CV-CVC,NOM,1.85,5,1.85,10.54000003,7.8,1.263399332,2.859577204,tambour,5,5,5,5,TRUE,h,1
indice,5dis,indice,NOM,22.13,13.29,4.66,2,1,6,2,V-CVC,NOM,1.85,4,1.85,4.65999998,13.29,1.254064452,2.826742103,indice,4,4,4,4,TRUE,h,1
survie,syRvi,survie,NOM,11.64,11.64,6.08,3,1,6,2,CVC-CV,NOM,1.6,5,1.8,6.08000004,11.64,1.248463719,2.807125375,survie,5,5,5,5,TRUE,h,1
rivage,RivaZ,rivage,NOM,5.46,4.38,12.36,2,1,6,2,CV-CVC,NOM,1.75,5,1.85,12.36000006,4.38,1.223755455,2.721332869,rivage,5,5,5,5,TRUE,h,1
bétail,betaj,bétail,NOM,9.71,9.69,5.41,2,1,6,2,CV-CVY,NOM,1.9,5,1.9,5.41000001,9.69,1.178976948,2.568963591,bétail,5,5,5,5,TRUE,h,1
perruque,pERyk,perruque,NOM,9.68,8.03,7.03,2,1,8,2,CV-CVC,NOM,1.95,5,1.95,7.03000009,8.03,1.177824974,2.565096645,perruque,5,5,5,5,TRUE,h,1
cantine,k@tin,cantine,NOM,4.23,3.76,10.61,2,1,7,2,CV-CVC,NOM,1.6,5,1.75,10.61000001,3.76,1.157456768,2.497162939,cantine,5,5,5,5,TRUE,h,1
faillite,fajit,faillite,NOM,6.94,6.74,7.16,2,1,8,2,CV-YVC,NOM,1.8,5,1.9,7.16000002,6.74,1.143014801,2.449497636,faillite,5,5,5,5,TRUE,h,1
pendule,p@dyl,pendule,NOM,4.78,3.37,9.86,2,1,7,2,CV-CVC,NOM,1.9,5,1.95,9.86000012,3.37,1.121559848,2.379456341,pendule,5,5,5,5,TRUE,h,1
épave,epav,épave,NOM,7.5,6.52,6.28,2,1,5,2,V-CVC,NOM,1.85,4,1.9,6.28000001,6.52,1.10720997,2.333123888,épave,4,4,4,4,TRUE,h,1
coquille,kokij,coquille,NOM,4.92,3.19,9.46,2,1,8,2,CV-CVY,NOM,1.9,5,1.95,9.45999989,3.19,1.102090522,2.31669404,coquille,5,5,5,5,TRUE,h,1
feuillage,f9jaZ,feuillage,NOM,1.68,1.3,10.47,2,1,9,2,CV-YVC,NOM,1.9,4,1.95,10.47000006,1.3,1.070776465,2.217338703,feuillage,5,4,4,4,FALSE,h,1
fric,fRik,fric,NOM,109.01,108.99,26.35,2,1,4,1,CCVC,NOM,1,4,1.05,26.34999996,108.99,2.131426172,6.674403699,fric,4,4,4,4,TRUE,h,2
club,kl9b,club,NOM,67.51,61.99,18.58,2,1,4,1,CCVC,NOM,2,4,2,18.58000011,61.99,1.906173364,5.539670259,club,4,4,4,4,TRUE,h,2
marge,maRZ,marge,NOM,14.4,14.21,12.64,2,1,5,1,CVCC,NOM,1,4,1,12.63999999,14.21,1.42894429,3.470826073,marge,4,4,4,4,TRUE,h,2
douane,dwan,douane,NOM,6.12,4.33,8.51,2,1,6,1,CYVC,NOM,1.55,4,1.6,8.51000007,4.33,1.108565026,2.337481443,douane,4,4,4,4,TRUE,h,2
match,matS,match,NOM,63.48,58.26,9.39,4,1,5,1,CVCC,NOM,1.1,4,1.35,9.39000006,58.26,1.830267801,5.180148026,match,4,4,4,4,TRUE,h,2
duel,d8El,duel,NOM,7.54,6.17,4.93,2,1,4,1,CYVC,NOM,1.8,4,1.8,4.92999995,6.17,1.045322977,2.138023103,duel,4,4,4,4,TRUE,h,2
ruelle,R8El,ruelle,NOM,6.25,4.04,13.51,2,1,6,1,CYVC,NOM,1.7,4,1.8,13.50999992,4.04,1.244277119,2.792502667,ruelle,4,3,4,4,TRUE,h,2
lèvre,lEvR,lèvre,NOM,37.91,4,20.74,2,1,5,1,CVCC,NOM,1.35,2,1.55,20.74000001,4,1.393399695,3.334962407,lèvre,4,4,2,4,TRUE,h,2
fruit,fR8i,fruit,NOM,39.45,15.99,21.96,2,1,5,1,CCYV,NOM,1.8,4,1.85,21.9599998,15.99,1.579211778,4.073121618,fruit,4,4,4,4,TRUE,h,2
cuisse,k8is,cuisse,NOM,12.73,4.38,21.22,2,1,6,1,CYVC,NOM,1.5,4,1.65,21.21999976,4.38,1.408239961,3.39137975,cuisse,4,4,4,4,TRUE,h,2
peintre,p5tR,peintre,NOM,17.02,13.6,31.22,2,1,7,1,CVCC,NOM,1.4,4,1.5,31.22000029,13.6,1.651471855,4.378831143,peintre,4,4,4,4,TRUE,h,2
larme,laRm,larme,NOM,45.71,5.15,10.81,2,1,5,1,CVCC,NOM,1.4,4,1.45,10.81000006,5.15,1.203032889,2.65032102,larme,4,4,4,4,TRUE,h,2
pluie,pl8i,pluie,NOM,46.1,42.91,111.76,2,1,5,1,CCYV,NOM,1.8,3,1.85,111.7600007,42.91,2.189406088,6.982905104,pluie,4,3,3,3,FALSE,h,2
perte,pERt,perte,NOM,37.8,30.2,26.62,2,1,5,1,CVCC,NOM,1.15,4,1.4,26.61999973,30.2,1.754501227,4.832775784,perte,4,4,4,4,TRUE,h,2
flamme,flam,flamme,NOM,26.93,12.61,38.38,2,1,6,1,CCVC,NOM,1.15,4,1.35,38.37999984,12.61,1.707485011,4.622990072,flamme,4,4,4,4,TRUE,h,2
bloc,blOk,bloc,NOM,17.28,14.25,28.31,7,1,4,1,CCVC,NOM,1.5,3,1.5,28.31000011,14.25,1.62900162,4.2826479,bloc,4,4,3,4,TRUE,h,2
cendre,s@dR,cendre,NOM,17.18,3.24,11.08,4,1,6,1,CVCC,NOM,1.25,4,1.3,11.07999988,3.24,1.155943014,2.492147267,cendre,4,4,4,4,TRUE,h,2
flèche,flES,flèche,NOM,12.76,8.21,15.54,2,1,6,1,CCVC,NOM,1.5,3,1.65,15.54000018,8.21,1.375663617,3.268114005,flèche,4,4,3,4,TRUE,h,2
sport,spOR,sport,NOM,30.04,24.61,15.54,4,1,5,1,CCVC,NOM,1.45,3,1.45,15.54000018,24.61,1.603685552,4.1754929,sport,4,4,3,4,TRUE,h,2
stade,stad,stade,NOM,15.14,14.34,13.18,2,1,5,1,CCVC,NOM,1.65,4,1.65,13.17999997,14.34,1.439648429,3.512236028,stade,4,4,4,4,TRUE,h,2
disque,disk,disque,NOM,33.61,20.36,21.49,2,1,6,1,CVCC,NOM,1.55,4,1.6,21.49000024,20.36,1.621695465,4.251591645,disque,4,4,4,4,TRUE,h,2
poire,pwaR,poire,NOM,7.58,5.67,10.81,2,1,5,1,CYVC,NOM,1.05,4,1.05,10.81000006,5.67,1.216957209,2.697942057,poire,4,4,4,4,TRUE,h,2
bourse,buRs,bourse,NOM,19.66,17.48,11.22,2,1,6,1,CVCC,NOM,1.1,4,1.35,11.22000012,17.48,1.457881899,3.583301529,bourse,4,4,4,4,TRUE,h,2
ciel,sjEl,ciel,NOM,142.32,142.22,301.76,2,1,4,1,CYVC,NOM,1.35,4,1.45,301.7600024,142.22,2.647363409,9.65589643,ciel,4,4,4,4,TRUE,h,2
ventre,v@tR,ventre,NOM,46.91,46.07,136.62,2,1,6,1,CVCC,NOM,1,4,1.25,136.6199989,46.07,2.261714773,7.377068488,ventre,4,4,4,4,TRUE,h,2
carte,kaRt,carte,NOM,144.96,96.11,60.95,5,1,5,1,CVCC,NOM,1,4,1,60.9499999,96.11,2.196065593,7.018769681,carte,4,4,4,4,TRUE,h,2
grange,gR@Z,grange,NOM,7.33,6.95,40.74,2,1,6,1,CCVC,NOM,1.55,4,1.8,40.73999955,6.95,1.678427318,4.495545581,grange,4,4,4,4,TRUE,h,2
fleur,fl9R,fleur,NOM,99.75,25.2,42.97,4,1,5,1,CCVC,NOM,1.1,4,1.25,42.97000044,25.2,1.833593297,5.195657675,fleur,4,4,4,4,TRUE,h,2
grotte,gROt,grotte,NOM,12.23,8.96,17.84,2,1,6,1,CCVC,NOM,1.4,3,1.5,17.84000007,8.96,1.428134795,3.467703788,grotte,4,4,3,4,TRUE,h,2
golf,gOlf,golf,NOM,14.14,14.05,7.16,4,1,4,1,CVCC,NOM,1.9,4,1.9,7.16000002,14.05,1.326540669,3.086250815,golf,4,4,4,4,TRUE,h,2
science,sj@s,science,NOM,32.97,25.28,24.93,2,1,7,1,CYVC,NOM,1.75,4,1.8,24.93000019,25.28,1.700790223,4.593477606,science,4,4,4,4,TRUE,h,2
fuite,f8it,fuite,NOM,29.09,26.02,31.82,2,1,5,1,CYVC,NOM,1.55,4,1.65,31.82000025,26.02,1.762228286,4.867676819,fuite,4,4,4,4,TRUE,h,2
membre,m@bR,membre,NOM,56.06,26.72,15.2,2,1,6,1,CVCC,NOM,1.65,4,1.75,15.19999983,26.72,1.622421272,4.254672057,membre,4,4,4,4,TRUE,h,2
culte,kylt,culte,NOM,5.37,4.74,13.58,2,1,5,1,CVCC,NOM,1.4,4,1.6,13.57999987,4.74,1.262925466,2.8579062,culte,4,4,4,4,TRUE,h,2
crabe,kRab,crabe,NOM,8.14,4.9,7.3,2,1,5,1,CCVC,NOM,1.2,4,1.3,7.29999995,4.9,1.086359829,2.266537507,crabe,4,4,4,4,TRUE,h,2
parc,paRk,parc,NOM,32.85,31.02,38.72,5,1,4,1,CVCC,NOM,1,4,1.05,38.72000002,31.02,1.843481943,5.241907618,parc,4,4,4,4,TRUE,h,2
